   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=6 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=8 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=8 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=8 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=6 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=10 r=4 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=8 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=8 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=8 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=8 r=6 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=7 t=0
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=9 r=5 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
   HIT 2 (=2.0000)  d=[2, 4] m=7 r=7 t=1
